autorinnen_id,preistitel
1,False
2,False
3,False
4,Kelag-Preis
5,False
6,3sat-Preis
7,"BKS Bank-Publikumspreis, Stadtschreiber-Stipendium der Stadt Klagenfurt"
8,Ingeborg-Bachmann-Preis
9,False
10,False
11,False
12,Deutschlandfunk-Preis
13,False
14,False
15,"BKS Bank-Publikumspreis, Stadtschreiber-Stipendium der Stadt Klagenfurt"
16,False
17,False
18,3sat-Preis
19,False
20,False
21,False
22,Ingeborg-Bachmann-Preis
23,Deutschlandfunk-Preis
24,False
25,False
26,False
27,Kelag-Preis
28,False
29,"BKS Bank-Publikumspreis, Stadtschreiber-Stipendium der Stadt Klagenfurt"
30,False
31,Deutschlandfunk-Preis
32,False
33,False
34,Ingeborg-Bachmann-Preis
35,False
36,False
37,False
38,False
39,Kelag-Preis
40,3sat-Preis
41,False
42,False
43,"BKS Bank-Publikumspreis, Stadtschreiber-Stipendium der Stadt Klagenfurt"
44,False
45,False
46,False
47,False
48,3sat-Preis
49,False
50,False
51,False
52,False
53,False
54,Ingeborg-Bachmann-Preis
55,False
56,Kelag-Preis
57,False
58,Ingeborg-Bachmann-Preis
59,False
60,False
61,"Kelag-Preis, BKS Bank-Publikumspreis, Stadtschreiber-Stipendium der Stadt Klagenfurt"
62,False
63,False
64,False
65,False
66,False
67,False
68,False
69,False
70,3sat-Preis
71,False
72,False
73,False
74,BKS Bank-Publikumspreis
75,False
76,False
77,False
78,3sat-Preis
79,Kelag-Preis
80,False
81,Ernst-Willner-Preis
82,Ingeborg-Bachmann-Preis
83,False
84,False
85,False
86,"BKS Bank-Publikumspreis, Stadtschreiber-Stipendium der Stadt Klagenfurt"
87,Kelag-Preis
88,False
89,False
90,False
91,Ernst-Willner-Preis
92,False
93,Ingeborg-Bachmann-Preis
94,False
95,False
96,3sat-Preis
97,False
98,False
99,False
100,False
101,False
102,False
103,Ernst-Willner-Preis
104,"BKS Bank-Publikumspreis, Stadtschreiber-Stipendium der Stadt Klagenfurt"
105,Ingeborg-Bachmann-Preis
106,3sat-Preis
107,False
108,Kelag-Preis
109,False
110,False
111,False
112,False
113,False
114,False
115,False
116,False
117,False
118,Ingeborg-Bachmann-Preis
119,False
120,3sat-Preis
121,Kelag-Preis
122,Ernst-Willner-Preis
123,False
124,False
125,VILLI-Publikumspreis
126,False
127,False
128,False
129,False
130,Kelag-Preis
131,False
132,False
133,Ernst-Willner-Preis
134,3sat-Preis
135,False
136,"Ingeborg-Bachmann-Preis, Hypo-Group-Publikumspreis"
137,False
138,False
139,False
